,AT3_R5_POST_SOIL,AT3_R6_POST_SOIL,AT3_R7_POST_SOIL,AT3_R7_PRE_SOIL,AT3_R8_POST_SOIL,AT3_R8_PRE_SOIL,AT4_R5_POST_SOIL,AT4_R5_PRE_SOIL,AT4_R6_POST_SOIL,AT4_R6_PRE_SOIL,AT4_R7_POST_SOIL,AT4_R7_PRE_SOIL,AT4_R8_POST_SOIL,AT4_R8_PRE_SOIL,BEO1_R5_POST_SOIL,BEO1_R5_PRE_SOIL,BEO1_R6_POST_SOIL,BEO1_R6_PRE_SOIL,BEO1_R7_POST_SOIL,BEO1_R7_PRE_SOIL,BEO1_R8_POST_SOIL,BEO1_R8_PRE_SOIL,BEO2B_R5_POST_SOIL,BEO2B_R5_PRE_SOIL,BEO2B_R6_POST_SOIL,BEO2B_R6_PRE_SOIL,BEO2B_R7_POST_SOIL,BEO2B_R7_PRE_SOIL,BEO2B_R8_POST_SOIL,BEO2B_R8_PRE_SOIL,FL1C4_R5_POST_SOIL,FL1C4_R5_PRE_SOIL,FL1C4_R6_POST_SOIL,FL1C4_R6_PRE_SOIL,FL1C4_R7_PRE_SOIL,FL2C3_R5_POST_SOIL,FL2C3_R5_PRE_SOIL,FL2C3_R6_POST_SOIL,FL2C3_R6_PRE_SOIL,FL2C3_R7_POST_SOIL,FL2C3_R7_PRE_SOIL,FL2C3_R8_POST_SOIL,FL2C3_R8_PRE_SOIL
sp301,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1
sp308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
sp312,1,6,4,9,0,0,0,9,0,3,3,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,11,0,5,0,0,8,3,0,1
sp319,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,5,0,0,2,0,0,3
sp323,2,0,7,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp331,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
sp335,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
