	1_S1_L001	10_S10_L001	11_S11_L001	12_S12_L001	13_S13_L001	14_S14_L001	15_S15_L001	16_S16_L001	17_S17_L001	2_S2_L001	3_S3_L001	4_S4_L001	5_S5_L001	6_S6_L001	8_S8_L001	9_S9_L001	1_S72_L002	10_S81_L002	11_S82_L002	12_S83_L002	13_S84_L002	14_S85_L002	15_S86_L002	16_S87_L002	17_S88_L002	18_S89_L002	19_S90_L002	2_S73_L002	20_S91_L002	21_S92_L002	22_S93_L002	23_S94_L002	24_S95_L002	25_S96_L002	26_S97_L002	27_S98_L002	28_S99_L002	29_S100_L002	3_S74_L002	30_S101_L002	31_S102_L002	32_S103_L002	33_S104_L002	34_S105_L002	35_S106_L002	36_S107_L002	37_S108_L002	38_S109_L002	39_S110_L002	4_S75_L002	40_S111_L002	41_S112_L002	42_S113_L002	43_S114_L002	44_S115_L002	45_S116_L002	46_S117_L002	47_S118_L002	48_S119_L002	49_S120_L002	5_S76_L002	50_S121_L002	51_S122_L002	52_S123_L002	53_S124_L002	6_S77_L002	7_S78_L002	8_S79_L002	9_S80_L002
ASV_38	0	0	34	9	0	7132	7050	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	187	291	374	34	0	0	0	22	0	0	0	0	0	0	0	0	0
ASV_39	2489	487	567	0	27	0	0	0	0	2498	1373	2237	526	2765	442	232	26	0	0	28	0	0	0	0	0	0	0	95	0	0	0	0	0	90	142	137	84	155	55	45	125	46	0	0	0	62	0	0	0	121	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	58	45	107	0
ASV_40	729	1807	1264	3537	1176	0	0	0	0	578	853	999	497	562	569	1360	0	46	65	0	0	0	0	33	0	0	0	0	0	0	0	0	0	72	42	45	91	92	0	49	122	53	62	0	85	125	0	76	92	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	22	0	0	0
ASV_41	4500	0	0	0	0	0	0	0	0	3388	1344	2404	224	1057	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	202	150	201	175	84	44	63	77	40	0	0	0	0	0	0	0	217	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	45	0	33	0
ASV_42	0	1176	3348	3746	2150	0	11	140	0	0	0	0	0	0	566	1965	0	30	16	196	22	76	72	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	31	71	107	17	81	116	0	0	0	0	0	0	25	0	24	0	0	0	42	22	33	0	0	0	0	0
ASV_43	2366	0	0	0	0	0	0	0	0	2213	0	0	2329	5740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	702	0	0	0	0	98	193	198	0
ASV_44	1837	40	57	0	0	0	0	0	0	1159	2623	3088	1022	2491	19	0	44	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	113	107	143	169	171	0	97	162	82	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	118	67	86	0
ASV_45	3802	60	19	0	34	0	0	0	0	4719	11	57	1047	2211	93	14	39	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	371	0	0	0	42	68	51	52	0
ASV_46	2328	73	124	59	53	0	0	0	0	969	2350	2291	1074	2136	63	0	43	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	124	100	91	92	171	36	129	157	72	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	121	51	72	0
ASV_47	1769	848	635	421	282	0	0	0	0	897	1719	1579	678	1720	581	358	23	0	15	24	0	0	0	0	0	0	0	74	0	0	0	0	0	108	106	125	179	108	0	57	119	34	20	36	27	71	0	0	12	62	9	0	0	0	0	0	0	0	0	0	50	0	9	0	0	67	28	45	0
ASV_48	18	2270	3131	1808	1730	0	0	10	0	22	52	50	27	68	1008	1523	0	31	56	137	34	63	31	63	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	68	117	96	8	42	83	0	21	0	0	0	0	0	0	0	0	0	0	0	27	14	0	0	0	0	12
ASV_49	497	1044	1992	683	439	800	1109	1456	0	264	224	185	0	233	1376	573	0	0	0	72	0	0	0	0	0	0	177	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	75	83	86	84	0	0	0	0	0	56	42	132	87	104	99	52	0	0	0	0	0	76	0	0	0	0	0
ASV_50	0	100	192	3156	3852	0	0	220	1692	0	0	0	0	0	75	168	0	0	0	0	17	47	86	27	0	12	27	0	0	449	607	262	264	0	0	0	0	0	0	0	0	0	19	0	16	24	28	102	146	0	60	0	0	0	0	29	15	91	0	0	0	0	18	192	0	0	0	0	0
ASV_51	819	60	121	190	104	0	0	0	0	534	2489	2723	563	2567	43	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	136	131	126	97	220	0	105	174	80	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	146	85	104	0
ASV_52	174	1013	1220	805	622	757	800	1017	175	115	1380	874	252	349	213	230	0	11	20	66	0	6	17	12	0	0	37	0	0	102	0	29	20	22	30	53	40	98	0	65	88	32	66	69	77	115	0	35	34	0	0	40	25	44	37	141	74	163	33	0	0	0	19	0	0	46	25	15	0
ASV_53	0	874	1430	3513	3320	0	0	37	0	0	0	4	0	0	630	1012	0	32	27	79	53	54	67	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	36	27	64	0	106	120	0	46	0	0	0	0	0	0	0	0	0	0	42	45	94	0	0	0	0	0
ASV_54	15	496	757	3919	3763	0	0	137	24	11	0	0	0	17	750	602	0	8	11	26	54	94	93	77	0	0	0	9	0	30	39	5	0	0	0	0	0	0	0	0	0	0	50	43	46	143	28	107	220	0	48	0	0	0	0	14	19	40	0	0	0	25	7	32	0	0	0	0	8
ASV_55	858	4	0	0	0	0	0	0	0	602	2782	2415	916	2256	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	117	143	55	160	29	151	191	102	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	139	0	0	0
ASV_56	715	737	1381	938	721	0	0	0	0	404	1531	1082	649	1087	493	397	0	0	23	110	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	58	106	94	0	59	91	0	120	0	68	124	0	39	59	0	19	0	0	0	0	0	0	0	0	13	0	0	0	0	0	76	0	0	0
ASV_57	294	300	583	4003	2393	0	0	0	0	264	864	590	204	730	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	36	85	0	0	72	0	0	0	0	0	0	105	135	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_58	81	918	2182	140	1226	0	0	92	624	98	0	0	0	0	1157	2402	0	57	17	107	29	69	52	56	0	0	0	0	0	370	76	41	81	0	0	0	0	0	0	0	0	0	30	61	51	94	12	0	25	0	21	0	0	0	0	26	21	123	0	0	0	0	20	58	0	0	0	0	12
ASV_59	1415	0	0	0	0	0	0	0	0	838	2368	2421	397	1647	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	106	131	103	82	203	0	105	143	60	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	86	36	56	0
ASV_60	1845	106	46	0	0	124	96	136	0	1250	1371	1731	534	981	113	119	18	5	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	115	193	249	214	125	13	45	133	49	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	30	42	31	0
