#Exported for mctoolsr
"#ASV_ID"	"1_S72_L002"	"10_S81_L002"	"11_S82_L002"	"12_S83_L002"	"13_S84_L002"	"14_S85_L002"	"15_S86_L002"	"16_S87_L002"	"17_S88_L002"	"18_S89_L002"	"19_S90_L002"	"2_S73_L002"	"20_S91_L002"	"21_S92_L002"	"22_S93_L002"	"23_S94_L002"	"24_S95_L002"	"25_S96_L002"	"26_S97_L002"	"27_S98_L002"	"28_S99_L002"	"29_S100_L002"	"3_S74_L002"	"30_S101_L002"	"31_S102_L002"	"32_S103_L002"	"33_S104_L002"	"34_S105_L002"	"35_S106_L002"	"36_S107_L002"	"37_S108_L002"	"38_S109_L002"	"39_S110_L002"	"4_S75_L002"	"40_S111_L002"	"41_S112_L002"	"42_S113_L002"	"43_S114_L002"	"44_S115_L002"	"45_S116_L002"	"46_S117_L002"	"47_S118_L002"	"48_S119_L002"	"49_S120_L002"	"5_S76_L002"	"50_S121_L002"	"51_S122_L002"	"52_S123_L002"	"53_S124_L002"	"6_S77_L002"	"7_S78_L002"	"8_S79_L002"	"9_S80_L002"	"taxonomy"
"ASV_1025"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Actinobacteriota;Thermoleophilia;Gaiellales;NA;NA;ASV_1025"
"ASV_1026"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;BSV13;ASV_1026"
"ASV_1027"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;AKAU3564 sediment group;NA;ASV_1027"
"ASV_1028"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;NA;ASV_1028"
"ASV_1029"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Amaricoccus;ASV_1029"
"ASV_103"	0	6	0	7	38	145	114	57	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	48	5	0	68	185	0	37	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	"Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;ASV_103"
"ASV_1030"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	"Bacteria;Chloroflexi;KD4-96;NA;NA;NA;ASV_1030"
"ASV_1031"	0	3	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;NA;ASV_1031"
"ASV_1032"	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;ASV_1032"
"ASV_1033"	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Myxococcota;Polyangia;Polyangiales;Polyangiaceae;Pajaroellobacter;ASV_1033"
