""	"1_S72_L002"	"10_S81_L002"	"11_S82_L002"	"12_S83_L002"	"13_S84_L002"	"14_S85_L002"	"15_S86_L002"	"16_S87_L002"	"17_S88_L002"	"18_S89_L002"	"19_S90_L002"	"2_S73_L002"	"20_S91_L002"	"21_S92_L002"	"22_S93_L002"	"23_S94_L002"	"24_S95_L002"	"25_S96_L002"	"26_S97_L002"	"27_S98_L002"	"28_S99_L002"	"29_S100_L002"	"3_S74_L002"	"30_S101_L002"	"31_S102_L002"	"32_S103_L002"	"33_S104_L002"	"34_S105_L002"	"35_S106_L002"	"36_S107_L002"	"37_S108_L002"	"38_S109_L002"	"39_S110_L002"	"4_S75_L002"	"40_S111_L002"	"41_S112_L002"	"42_S113_L002"	"43_S114_L002"	"44_S115_L002"	"45_S116_L002"	"46_S117_L002"	"47_S118_L002"	"48_S119_L002"	"49_S120_L002"	"5_S76_L002"	"50_S121_L002"	"51_S122_L002"	"52_S123_L002"	"53_S124_L002"	"6_S77_L002"	"7_S78_L002"	"8_S79_L002"	"9_S80_L002"
"ASV_62"	0	46	65	0	0	0	0	33	0	0	0	0	0	0	0	0	0	72	42	45	91	92	0	49	122	53	62	0	85	125	0	76	92	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	22	0	0	0
"ASV_63"	39	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	371	0	0	0	42	68	51	52	0
"ASV_64"	18	0	0	0	0	0	0	2	0	0	0	144	0	0	0	0	0	132	105	96	159	74	17	29	73	30	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	42	26	26	0
"ASV_65"	14	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	39	74	133	127	175	6	79	144	40	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	87	51	75	0
"ASV_66"	0	0	0	0	0	0	0	0	0	7	437	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	91	129	119	131	0	0	64	11	0	37	0	0	0	0	0	0	0
"ASV_67"	0	37	0	76	68	224	244	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	275	0	0	0	0	44
"ASV_68"	0	0	0	0	0	0	0	0	0	0	217	0	32	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	5	0	65	99	249	303	72	6	0	28	0	0	40	0	0	0	0	0	0	0
"ASV_69"	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	52	78	75	76	142	17	80	156	61	0	0	0	9	0	0	0	78	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	97	34	40	0
"ASV_70"	0	0	0	0	0	275	137	0	0	0	0	0	0	406	106	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	63	0
"ASV_71"	0	0	23	110	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	58	106	94	0	59	91	0	120	0	68	124	0	39	59	0	19	0	0	0	0	0	0	0	0	13	0	0	0	0	0	76	0	0	0
