"crrelRR"	"crrelerr_R"	"crrelSig_adjust_R"	"crrelICl_R"	"crrelICu_R"
"ASV_352"	-21.699503308236	1.19174858700145	1	-22.8912518952375	-20.5077547212346
"ASV_353"	0	0	0	0	0
"ASV_354"	-0.581010127981253	1.8023299549073	-117.377219440776	-2.38334008288855	1.22131982692605
"ASV_355"	-1.32430226355439	5.50340480298649	-2844.90275474896	-6.82770706654088	4.1791025394321
"ASV_356"	0	0	0	0	0
"ASV_357"	-0.942260469383511	1.82415110338588	-94.1921199645307	-2.76641157276939	0.881890634002369
"ASV_358"	-0.652103307469427	1.82494773131447	-116.632029898848	-2.47705103878389	1.17284442384504
"ASV_359"	0	0	0	0	0
"ASV_360"	-1.18960107055339	1.44247508619337	-22.1202952847945	-2.63207615674676	0.252874015639987
"ASV_361"	-0.5672640951711	2.65773792368505	-334.252409645223	-3.22500201885615	2.09047382851395
"ASV_362"	-2.01287745448477	5.38734295332462	-1970.16553570885	-7.4002204078094	3.37446549883985
"ASV_363"	0	0	0	0	0
"ASV_364"	0	0	0	0	0
"ASV_365"	-17.8461876497603	5.03677036428583	1	-22.8829580140461	-12.8094172854745
"ASV_366"	0	0	0	0	0
"ASV_367"	0	0	0	0	0
"ASV_368"	0	0	0	0	0
"ASV_369"	0	0	0	0	0
"ASV_370"	0.494523178079077	3.22218851268649	-582.161903609046	-2.72766533460742	3.71671169076557
"ASV_371"	0	0	0	0	0
"ASV_372"	-0.807147046560894	3.55041853977815	-718.26827823518	-4.35756558633904	2.74327149321725
"ASV_373"	0.848921581477062	5.13939075511296	-2100.08639830983	-4.2904691736359	5.98831233659003
"ASV_374"	0	0	0	0	0
"ASV_375"	0	0	0	0	0
"ASV_376"	0	0	0	0	0
"ASV_377"	-1.16326596748561	2.07967461349694	-120.37354809672	-3.24294058098255	0.916408646011325
"ASV_378"	-1.17943058422147	5.38120311663265	-2632.72582652779	-6.56063370085411	4.20177253241118
"ASV_379"	0	0	0	0	0
"ASV_380"	0	0	0	0	0
"ASV_381"	-0.489327271755864	1.4639902362154	-72.2737046470619	-1.95331750797126	0.974662964459532
"ASV_382"	0	0	0	0	0
"ASV_383"	-0.665571986449119	1.41052666311776	-57.5094112297247	-2.07609864956688	0.744954676668644
"ASV_384"	-0.84601829997209	2.22106495151452	-187.570156476171	-3.06708325148661	1.37504665154243
"ASV_385"	0	0	0	0	0
"ASV_386"	0	0	0	0	0
"ASV_387"	0	0	0	0	0
"ASV_388"	0	0	0	0	0
"ASV_389"	0	0	0	0	0
"ASV_390"	-0.738230476236791	1.21777919079462	-32.2367099759732	-1.95600966703141	0.479548714557825
"ASV_391"	0	0	0	0	0
"ASV_392"	0	0	0	0	0
"ASV_393"	0	0	0	0	0
"ASV_394"	-1.26288109220749	2.55091942808902	-230.930004834385	-3.81380052029651	1.28803833588153
"ASV_395"	0	0	0	0	0
"ASV_396"	0	0	0	0	0
"ASV_397"	0	0	0	0	0
"ASV_398"	0	0	0	0	0
"ASV_399"	-0.733069787705037	0.880566297182921	-7.19808542057752	-1.61363608488796	0.147496509477884
"ASV_400"	20.9328784930283	2.37805755740736	1	18.5548209356209	23.3109360504357
