absabundRR,absabunderr_R,absabundSig_adjust_R,absabundICl_R,absabundICu_R,ID,Kingdom,Phylum,Class,Order,Family,Genus
-15.82619685406854,7.687751468051735,1,-23.513948322120275,-8.138445386016805,ASV_14822,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,UA-50,NA
-16.231661920024024,7.687751811173403,1,-23.919413731197427,-8.543910108850621,ASV_14823,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Oryzihumus
-15.13304979996663,7.687750438686916,1,-22.820800238653547,-7.445299361279713,ASV_14825,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,AKAU3564 sediment group,NA
-15.654497349126732,7.68775127523005,1,-23.34224862435678,-7.966746073896682,ASV_14827,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Longilinea
-15.654497349126732,7.68775127523005,1,-23.34224862435678,-7.966746073896682,ASV_14829,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter
-16.34764445461353,7.687751886323387,1,-24.035396340936916,-8.659892568290143,ASV_14830,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,NA
-16.753109537697313,7.687752090021183,1,-24.440861627718498,-9.06535744767613,ASV_14832,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosarcinaceae,Methanosarcina
-15.654497349126732,7.68775127523005,1,-23.34224862435678,-7.966746073896682,ASV_14835,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA
-16.34764445461353,7.687751886323387,1,-24.035396340936916,-8.659892568290143,ASV_14836,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Schlesneriaceae,Schlesneria
-16.753109537697313,7.687752090021183,1,-24.440861627718498,-9.06535744767613,ASV_14838,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,BSV26,NA
-16.34764445461353,7.687751886323387,1,-24.035396340936916,-8.659892568290143,ASV_14839,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus Solibacter
-16.34764445461353,7.687751886323387,1,-24.035396340936916,-8.659892568290143,ASV_14840,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Oryzihumus
-15.654497349126732,7.68775127523005,1,-23.34224862435678,-7.966746073896682,ASV_14842,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA
-15.654497349126732,7.68775127523005,1,-23.34224862435678,-7.966746073896682,ASV_14847,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,NA
-12.568409393402991,7.687725742195535,1,-20.256135135598527,-4.880683651207456,ASV_14867,Bacteria,Firmicutes,Bacilli,Thermoactinomycetales,Thermoactinomycetaceae,Polycladomyces
-13.261554930515072,7.6877391197841884,1,-20.949294050299258,-5.573815810730883,ASV_14870,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,UA-50,NA
-11.812679295065097,7.68769553112389,1,-19.500374826188988,-4.124983763941207,ASV_14874,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Rhodovastum
-11.812679295065097,7.68769553112389,1,-19.500374826188988,-4.124983763941207,ASV_14875,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,NA
-12.911286918162924,7.68773350856391,1,-20.599020426726835,-5.223553409599014,ASV_14876,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA
-11.812679295065097,7.68769553112389,1,-19.500374826188988,-4.124983763941207,ASV_14878,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA
-12.505822976449371,7.68772401417068,1,-20.19354699062005,-4.818098962278691,ASV_14879,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Hylemonella
-11.812679295065097,7.68769553112389,1,-19.500374826188988,-4.124983763941207,ASV_14880,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA
-11.812679295065097,7.68769553112389,1,-19.500374826188988,-4.124983763941207,ASV_14881,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Homoserinimonas
-12.505822976449371,7.68772401417068,1,-20.19354699062005,-4.818098962278691,ASV_14883,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Demequinaceae,Demequina
-11.812679295065097,7.68769553112389,1,-19.500374826188988,-4.124983763941207,ASV_14884,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA
15.804715007559109,7.864874713690254,1,7.939840293868854,23.669589721249363,ASV_14888,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,NA
15.11156795660315,7.864873637742356,1,7.246694318860793,22.976441594345506,ASV_14890,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,NA
16.210180072465942,7.864875072339611,1,8.345305000126332,24.075055144805553,ASV_14894,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,NA
16.210180072465942,7.864875072339611,1,8.345305000126332,24.075055144805553,ASV_14898,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA
16.210180072465942,7.864875072339611,1,8.345305000126332,24.075055144805553,ASV_14901,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter
0,0,0,0,0,ASV_14910,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Tychonema CCAP 1459-11B
-16.826276690715527,7.687752118764799,1,-24.514028809480326,-9.138524571950729,ASV_14911,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,BSV13
-16.826276690715527,7.687752118764799,1,-24.514028809480326,-9.138524571950729,ASV_14913,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,NA
-16.826276690715527,7.687752118764799,1,-24.514028809480326,-9.138524571950729,ASV_14914,Archaea,Halobacterota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanosphaerula
-16.986617007813805,7.687752174860641,1,-24.674369182674447,-9.298864832953164,ASV_14915,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,BSV13
-16.986617007813805,7.687752174860641,1,-24.674369182674447,-9.298864832953164,ASV_14918,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,NA
-16.986617007813805,7.687752174860641,1,-24.674369182674447,-9.298864832953164,ASV_14920,Bacteria,Firmicutes,Syntrophomonadia,Syntrophomonadales,Syntrophomonadaceae,Pelospora
-17.39208210271324,7.6877522823793605,1,-25.0798343850926,-9.704329820333879,ASV_14921,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Conexibacter
-15.1836046301912,7.6877505401786,1,-22.8713551703698,-7.4958540900126,ASV_14922,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hungateiclostridiaceae,NA
-14.7781396423069,7.687749561559847,1,-22.465889203866748,-7.090390080747054,ASV_14927,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter
-14.7781396423069,7.687749561559847,1,-22.465889203866748,-7.090390080747054,ASV_14928,Bacteria,Firmicutes,Syntrophomonadia,Syntrophomonadales,Syntrophomonadaceae,Pelospora
-15.1836046301912,7.6877505401786,1,-22.8713551703698,-7.4958540900126,ASV_14929,Bacteria,Caldisericota,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum
-14.084992822418466,7.687746625704993,1,-21.77273944812346,-6.397246196713472,ASV_14930,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,NA
-14.084992822418466,7.687746625704993,1,-21.77273944812346,-6.397246196713472,ASV_14931,Bacteria,Caldisericota,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum
-15.002196764635201,7.687750150875951,1,-22.68994691551115,-7.31444661375925,ASV_14932,Bacteria,Caldisericota,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum
-13.903585052514488,7.68774545779828,1,-21.59133051031277,-6.215839594716209,ASV_14935,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,NA
-14.596731800663918,7.687748977606026,1,-22.284480778269945,-6.908982823057891,ASV_14937,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Vicinamibacter
-15.878067931749317,7.687751520084841,1,-23.56581945183416,-8.190316411664476,ASV_14938,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Sediminihabitans
-16.283532999835565,7.687751845862145,1,-23.97128484569771,-8.59578115397342,ASV_14939,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA
-15.878067931749317,7.687751520084841,1,-23.56581945183416,-8.190316411664476,ASV_14943,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium
-15.184920871255112,7.687750542753107,1,-22.87267141400822,-7.497170328502006,ASV_14945,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,Desulfobaccaceae,Desulfobacca
-16.283532999835565,7.687751845862145,1,-23.97128484569771,-8.59578115397342,ASV_14946,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae R-7 group
-15.878067931749317,7.687751520084841,1,-23.56581945183416,-8.190316411664476,ASV_14947,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,NA
