Combined_Sample1	Combined_Sample15	Combined_Sample13	Combined_Sample40	Combined_Sample41	Combined_Sample42	Combined_Sample48	Combined_Sample24	Combined_Sample3	Combined_Sample6	Combined_Sample32	Combined_Sample7	Combined_Sample8	Combined_Sample9	Combined_Sample10
659	0	0	0	0	0	0	0	494	1171	1130	0	1042	0	0
141	909	400	336	117	74	162	0	137	182	176	60	210	221	184
39	87	322	90	1771	948	373	0	89	114	96	0	46	56	46
592	0	0	0	0	0	0	0	583	920	1360	178	799	0	0
0	0	0	0	0	0	0	4150	0	0	0	0	0	0	0
4103	0	0	0	0	0	0	0	453	0	0	0	0	0	0
579	19	0	0	0	0	0	0	636	922	816	383	907	0	0
964	0	0	0	0	0	0	0	479	893	759	311	647	0	0
634	0	0	0	0	0	0	0	522	808	1105	230	551	0	0
0	0	0	0	2653	1563	81	0	0	0	0	0	0	0	0
0	301	45	0	1762	1517	365	0	0	0	0	0	0	39	114
221	0	0	0	0	0	0	0	130	808	998	464	1609	0	0
0	97	789	527	600	659	621	90	0	0	0	0	0	67	0
141	0	0	0	0	0	0	0	60	1798	995	432	664	0	0
262	577	74	180	39	19	23	0	425	277	339	140	358	288	400
0	1702	53	0	0	0	0	0	0	0	0	0	0	0	136
0	442	809	1160	5	0	194	0	24	0	0	0	0	295	223
256	0	0	0	0	0	0	0	152	848	1001	347	1425	0	0
5	455	478	661	87	66	109	0	0	0	0	0	0	224	546
50	177	1109	623	72	0	275	95	65	300	284	64	274	43	0
0	0	0	0	1893	1966	150	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	4153	0
0	0	0	0	442	1813	1508	0	0	0	0	0	0	0	0
89	400	491	463	45	32	198	18	134	194	176	139	260	248	183
0	428	609	757	333	211	140	0	19	6	0	0	0	106	109
0	1053	0	0	0	0	0	0	0	0	0	0	0	264	1076
0	0	0	0	487	1709	1605	0	0	0	0	0	0	0	0
69	0	0	0	0	0	0	0	0	1233	1002	537	1087	0	0
35	707	362	406	23	33	13	0	17	47	16	0	49	415	993
123	54	866	501	145	173	313	282	426	69	34	47	219	23	0
0	49	658	1310	192	257	156	332	0	0	0	0	0	72	144
0	133	1028	2035	0	0	0	97	78	0	0	0	0	77	69
274	549	296	148	0	0	0	0	126	582	596	314	563	159	130
732	377	201	228	10	0	0	0	515	354	378	0	450	160	193
150	0	0	0	0	0	0	0	142	1078	1186	257	765	0	0
0	20	175	452	227	316	1580	56	0	0	0	0	0	0	0
0	473	61	0	117	95	0	0	0	0	0	0	0	358	1238
567	42	69	84	0	0	0	0	521	528	652	284	463	47	51
598	0	0	0	0	0	0	0	492	721	830	255	467	0	0
0	102	1741	1493	0	0	0	0	0	0	0	0	0	95	122
492	0	0	0	0	0	0	0	285	859	1043	389	630	0	0
22	653	199	305	0	0	0	0	0	0	24	0	0	331	667
0	262	0	0	0	0	0	0	0	0	0	0	0	0	3553
629	265	353	0	0	0	0	0	355	496	405	307	601	0	141
0	0	0	0	0	0	0	0	0	1867	1263	167	239	0	0
165	172	558	216	0	0	0	0	118	805	591	292	442	29	18
0	0	0	0	702	1625	794	0	0	0	0	0	0	0	0
0	0	67	44	853	1323	935	0	0	0	0	0	0	0	0
216	0	0	0	0	0	0	0	188	1117	851	376	547	0	0
258	0	0	0	0	0	0	0	176	871	757	471	951	0	0
15	510	883	227	31	41	122	51	16	134	160	0	18	115	110
31	248	580	158	422	391	352	113	10	29	15	0	0	72	119
292	0	0	0	0	0	0	0	232	1088	826	247	626	0	0
0	323	146	254	359	217	714	60	0	0	0	0	0	123	194
643	12	0	10	0	0	0	0	410	704	693	250	575	5	11
206	46	135	63	1113	691	278	0	100	199	234	22	106	35	52
0	549	187	406	0	28	36	0	0	78	63	0	0	380	463
48	0	0	14	1405	1257	386	0	0	46	5	0	22	0	0
2	465	1077	397	68	42	225	56	2	1	1	0	0	145	78
111	359	237	123	0	0	12	0	163	108	113	26	91	554	770
104	1184	0	0	0	0	70	31	47	0	0	0	0	221	524
957	0	0	0	0	0	0	0	917	344	557	0	168	0	0
258	0	0	0	0	0	0	0	235	575	900	270	895	0	0
0	137	0	0	0	0	0	263	0	0	0	0	2186	0	0
686	0	0	0	0	0	0	0	612	585	770	182	326	0	0
25	166	838	1495	0	0	0	0	21	25	23	0	44	120	24
133	219	0	0	0	0	706	288	248	33	59	16	59	142	442
0	0	0	0	1205	981	610	0	0	0	0	0	0	0	0
358	0	0	0	0	0	0	0	334	598	611	360	784	0	0
208	173	0	0	0	0	18	0	149	499	531	286	977	94	141
0	0	0	0	1723	1270	183	0	0	0	0	0	0	0	0
0	292	951	543	0	0	56	3	0	0	0	0	0	115	80
0	817	166	287	0	0	0	0	0	0	0	0	0	338	280
0	0	173	154	651	1084	912	4	0	0	0	0	0	5	0
62	469	275	224	0	0	22	0	150	21	59	17	17	235	584
12	457	449	320	23	0	0	0	24	41	42	0	12	223	167
0	0	65	59	598	802	1024	5	17	0	0	0	0	0	14
436	118	0	0	0	0	0	183	235	83	0	147	1200	148	150
226	587	682	240	0	0	0	0	183	225	349	97	189	114	211
0	515	462	751	158	62	115	0	0	0	0	0	0	115	196
520	0	0	0	0	0	0	0	750	436	621	97	400	0	0
385	0	0	0	0	0	0	0	131	893	781	176	511	0	0
0	478	274	286	0	0	5	9	0	0	72	0	0	285	838
0	49	1231	1255	75	102	59	0	0	0	0	0	0	0	45
259	0	0	0	0	0	0	0	209	749	511	420	750	0	0
186	0	0	0	0	0	0	2362	181	12	0	34	88	0	0
522	103	0	0	0	0	47	0	478	275	406	161	477	21	140
76	550	843	659	0	0	0	0	30	0	44	0	24	343	209
607	0	0	0	0	0	19	0	625	342	421	224	498	0	0
28	172	1228	578	0	0	0	0	33	0	0	0	0	142	81
195	0	0	0	0	0	0	0	2378	0	0	0	0	0	0
80	576	0	114	0	13	73	0	244	19	30	0	0	403	653
0	0	0	0	0	0	0	0	3011	0	0	0	21	0	0
0	173	0	0	554	189	185	76	0	0	0	0	0	161	431
452	0	0	0	0	0	0	0	308	549	727	211	494	0	0
28	12	47	75	919	843	515	18	0	0	50	0	0	0	40
327	114	78	152	0	0	0	0	189	518	362	211	308	89	0
0	0	0	0	1563	976	119	0	9	0	0	0	0	0	10
0	0	0	0	732	1040	778	0	0	0	0	0	0	0	0
365	20	0	0	0	0	0	0	304	636	615	167	495	0	0
678	0	0	0	0	0	0	0	424	597	602	123	296	0	0
131	0	0	0	0	0	0	0	132	774	680	391	592	0	0
304	0	0	0	0	0	0	0	181	823	585	174	497	0	0
223	0	0	0	0	0	0	0	205	619	716	387	696	0	0
0	0	0	0	532	1081	873	0	0	0	0	0	0	0	0
540	0	0	0	0	0	0	0	591	475	650	100	164	0	0
275	0	0	0	0	0	0	0	162	725	552	181	635	8	0
422	0	0	0	0	12	6	0	564	365	597	138	344	0	0
113	0	0	0	0	0	0	0	104	528	588	311	976	0	0
0	326	391	355	41	35	0	0	0	0	25	0	0	225	443
112	169	0	0	0	0	0	0	1282	0	0	0	0	0	212
0	770	69	62	0	0	44	0	27	0	0	0	0	287	52
572	0	0	0	0	0	0	0	623	255	427	201	199	0	0
537	299	577	112	1	4	3	379	106	0	0	10	0	66	116
0	394	388	239	0	0	81	0	0	0	6	0	0	709	367
0	339	0	0	0	0	33	0	0	0	0	0	0	1315	525
0	0	0	0	339	246	138	34	0	0	0	0	0	0	0
0	541	67	43	0	0	51	0	0	0	0	0	0	230	610
220	161	85	52	0	0	13	0	151	477	397	187	280	72	89
0	0	271	392	303	298	978	0	0	0	0	0	0	0	0
266	0	0	0	0	0	0	0	276	338	747	117	461	0	0
556	22	36	54	0	0	0	0	713	129	209	82	209	16	362
379	0	0	0	0	0	0	0	325	442	549	205	245	0	0
39	61	520	322	0	0	0	0	27	339	298	151	195	117	89
0	0	0	0	557	758	630	82	0	0	0	0	0	0	0
19	215	139	468	0	0	0	80	58	0	0	0	0	370	374
0	164	553	561	0	0	0	0	0	0	0	0	0	70	122
0	241	671	528	0	0	0	0	0	0	0	0	0	85	228
324	223	88	86	0	0	0	0	337	211	172	117	287	58	108
374	0	0	0	0	0	0	0	271	382	476	171	621	0	0
22	255	287	228	0	0	0	0	0	0	21	0	0	144	343
61	280	966	388	0	8	17	28	0	0	0	0	0	151	22
0	0	652	793	113	0	280	0	0	0	0	0	0	47	37
92	43	139	96	253	158	321	0	110	36	128	0	82	81	121
354	0	0	0	0	0	0	0	409	307	400	213	355	0	0
0	177	649	491	100	76	189	17	6	0	0	0	0	78	87
220	30	0	0	0	0	0	0	200	30	13	0	1564	50	134
0	507	214	257	0	0	8	0	0	0	0	0	0	126	483
297	0	0	0	0	0	0	0	226	403	450	347	365	0	0
185	309	235	184	0	22	104	0	177	0	0	0	0	187	355
0	78	0	0	0	0	0	0	336	0	0	0	0	1545	128
0	0	145	127	111	170	640	0	61	171	153	0	70	0	0
217	0	0	0	0	0	0	0	122	634	464	154	495	0	0
49	0	0	0	0	0	0	0	29	447	410	275	1004	0	0
1592	0	0	0	0	0	0	0	647	0	0	0	0	0	0
451	0	0	0	0	0	0	0	356	381	457	99	161	0	0
231	0	0	0	0	0	0	0	154	485	604	174	310	0	0
201	0	0	0	0	0	0	0	93	607	813	114	245	0	0
113	0	0	0	0	0	0	0	71	574	612	156	576	0	0
0	72	155	116	210	134	729	0	0	0	0	0	0	0	108
215	0	0	0	0	0	0	0	303	409	488	163	406	0	0
